id,x,y,timestamp,severity,speed_limit,weather,road_state
55586,130.128616273985,85.623408193299,1412957880,1,0,7,5
55587,130.094722187721,85.7285581505334,1414759500,1,0,7,5
55588,129.989148501161,85.6505486221155,1413215640,1,0,7,5
55589,130.05858955956,85.6821765150231,1412670660,1,0,7,5
55590,130.055865174848,85.6721950855833,1411675980,1,50,0,4
55592,130.088934395434,85.7321322921203,1411533840,1,50,0,0
55593,130.099106639339,85.7296138375405,1410353700,1,50,0,0
55594,130.036751165989,85.6737464698897,1409641800,1,0,7,5
55595,131.2579742045,85.8545278669026,1447027380,2,120,0,1
55596,131.338357276467,85.8188258834851,1448039940,1,0,7,5
55597,131.466557026944,85.9230522475773,1447215900,1,0,0,0
55598,131.377548409768,85.7746315747183,1448581440,1,0,0,0
55599,131.483266132546,85.9360796686167,1447303800,1,120,0,0
55600,129.995925688249,85.6469171218644,1414208100,1,90,0,1
55601,130.13182458035,85.6275036842505,1412761020,1,0,7,5
55602,131.228097683443,85.8503724002309,1448610300,1,120,0,0
55603,131.313081042656,85.8553360932601,1447577400,1,70,0,1
55604,130.038254390344,85.6669578245385,1412531760,1,0,7,5
55605,130.16455782055,85.6681830281111,1411222020,1,50,0,0
55606,130.068275431537,85.6330568787083,1412274180,1,90,0,0
55608,130.080874628128,85.7499210450456,1411670280,1,70,0,0
55609,131.414027538392,85.7550786927323,1446563400,1,0,0,0
55610,130.150238909029,85.670959702975,1413991320,1,0,7,5
55611,129.986652486393,85.6233137052506,1410409500,1,0,7,5
55612,130.418688150574,85.7106163205009,1411111140,1,0,7,5
55613,129.87613542082,85.5714915500186,1413529080,1,0,7,5
55614,129.843386698253,85.5869836688378,1412005200,1,0,7,5
55615,129.923982211766,85.5412244428493,1409721420,1,50,0,0
55616,129.890870923079,85.5620236315965,1409815320,1,0,7,5
55617,129.942571835251,85.5425325992209,1412178120,1,50,0,0
55618,129.8576625338,85.5789395170571,1411973880,1,0,7,5
55619,129.876778684431,85.5873545600229,1411821060,1,0,7,5
55620,129.851502177728,85.6208928817111,1411052460,1,0,7,5
55621,129.899929833337,85.553523859024,1410586320,1,0,7,5
55622,129.951056582268,85.5573550631219,1409898240,1,0,7,5
55623,129.884892038302,85.5847075180538,1410619200,1,0,7,5
55624,129.899929833337,85.553523859024,1410168180,1,0,7,5
55625,129.904863920478,85.5965989060108,1412794680,3,90,1,1
55626,131.396450061552,85.8888761904412,1448527200,1,0,0,0
55627,131.321172170153,85.8364945678604,1447313700,1,120,7,5
55628,131.443954466538,85.7434410680139,1448866800,1,0,7,5
55629,131.244219152036,85.8512833257689,1446971700,1,120,0,0
55630,131.177867045236,85.9206973229089,1448437500,1,90,0,1
55631,131.308090567964,85.8533363340225,1447248300,1,120,0,0
55632,129.850986525693,85.6216985745257,1414419600,1,0,7,5
55633,129.968491146762,85.5573059433588,1409619600,1,70,0,1
55634,129.932737733146,85.539251348163,1414503960,1,0,7,5
55635,130.334240860239,85.3094242677166,1413573540,1,50,0,0
55636,129.906491674672,85.5700372864696,1412522100,1,0,7,5
55637,129.906756254641,85.5942094157081,1414046940,1,0,7,5
55638,129.848962389815,85.6048954435349,1414489380,1,90,0,0
55639,129.843960832389,85.5951428748972,1409858940,1,50,0,0
55640,129.923488926665,85.5405510673247,1412973000,1,0,7,5
55641,129.959310544805,85.5518265719966,1414424820,1,0,7,5
55642,129.907237153862,85.5725176148409,1409724960,1,0,7,5
55643,129.937086934059,85.5772138131251,1414755780,1,0,7,5
55644,129.920905763294,85.5999774666989,1413287400,1,70,0,1
55645,130.156366153335,85.9447602566151,1410393660,1,50,0,0
55646,130.098156549507,85.8771928298736,1413741600,1,0,7,5
55647,130.112122994682,85.8305208819281,1410954720,1,70,0,0
55648,130.183617269829,85.8123652706678,1409789220,1,70,0,0
